,freq1,freq2,freq3,freq4,freq5,freq6,cov1,cov2,cov3
ind1,10.0,8.0,7.0,16.0,14.0,17.0,0.95,2.0,2.6
ind2,9.0,11.0,6.0,13.0,16.0,14.0,1.1409,1.0,2.6
ind3,9.0,7.0,11.0,16.0,11.0,18.0,1.3318,2.0,1.4
ind4,7.0,10.0,10.0,14.0,12.0,15.0,1.5227,1.0,1.4
ind5,13.0,10.0,9.0,13.0,12.0,14.0,1.7136,2.0,2.6
ind6,12.0,13.0,9.0,10.0,14.0,11.0,1.9045,1.0,2.6
ind7,12.0,9.0,13.0,14.0,8.0,15.0,2.0955,2.0,1.4
ind8,11.0,12.0,13.0,11.0,10.0,12.0,2.2864,1.0,1.4
ind9,17.0,12.0,12.0,10.0,10.0,11.0,2.4773,2.0,2.6
ind10,15.0,15.0,11.0,8.0,11.0,8.0,2.6682,1.0,2.6
ind11,15.0,11.0,16.0,11.0,6.0,12.0,2.8591,2.0,1.4
ind12,14.0,14.0,15.0,8.0,8.0,9.0,3.05,1.0,1.4
